file	heading	tag	note
00 Standards Overview.md	Purpose	mixed	入口/路由职责声明是 kernel；第二段 v1.2–v2.3 逐版本演进史是 instance，开源时删除或归零
00 Standards Overview.md	Current State	mixed	状态表结构（version/status/effective date/routing model 槽位）是 kernel；具体取值 2.3、2026-07-30、13 MOC、72 modules 是 instance，需重置
00 Standards Overview.md	Start Here	kernel	Card-first 入口流程与升级回读协议，纯过程不变量
00 Standards Overview.md	Task Router	mixed	路由表机制与各过程行是 kernel；"Agent/Harness system slice"措辞与面试内容任务行是 profile，需抽走换槽位
00 Standards Overview.md	Domain Index	mixed	13 域索引表机制与过程域行是 kernel；`11` Interview Content 域行及 Agent/Harness、双语措辞是 profile
00 Standards Overview.md	Loading Contract	kernel	MOC/leaf/Read Set/Triggered/Gate/loaded set 的加载语义定义，纯机制
00 Standards Overview.md	Protected Defaults	mixed	canonical owner、用户修改保护、pipeline、Amendment、receipt、守恒、渲染、完成 gate 各条是 kernel；中文优先语言合同条是 profile；`Python Algorithm Agent Training` 排除条是 instance
00 Standards Overview.md	Migration Compatibility	instance	v1.1→v1.2 迁移史与 Archive/ 归档引用，开源时删除
00 Standards Overview.md	Related	nav
00 Standards Control/01 Operating Role and Reading Protocol.md	Purpose	mixed	"目标不是文件数而是支持能力清单"框架是 kernel；"大厂面试：中英文分层回答"目标条是 profile；施工中改判+理由：将首句的具名 `Obsidian` knowledge-host 部署绑定抽入 agent-atlas `Role Registry`，kernel 仅保留面向所选 knowledge host 的通用适用范围，避免具体宿主名进入 active kernel
00 Standards Control/01 Operating Role and Reading Protocol.md	Operating Role	kernel	00 作为唯一入口和规则路由器的职责定义
00 Standards Control/01 Operating Role and Reading Protocol.md	Mandatory Reading Protocol	kernel	Card-first 解析顺序、禁止整域全量加载、loaded set 记录义务（examples）
00 Standards Control/01 Operating Role and Reading Protocol.md	Card-first Reading Mode	kernel	卡片为编译产物、四类回读例外、冲突以原文为准并触发重编译
00 Standards Control/01 Operating Role and Reading Protocol.md	Default Read Sets	mixed	Read Set 清单机制与过程性行是 kernel；Interview Content 行是 profile；末行 v1.1 Archive 说明是 instance
00 Standards Control/02 Task Routing and Pre-execution.md	Task Routing Table	mixed	路由表结构与过程行是 kernel；面试内容任务行是 profile；OpenAI/Anthropic 仅为来源例子（examples）
00 Standards Control/02 Task Routing and Pre-execution.md	Effort Tiering	mixed	【含裁决④】S/M/L 分档机制、争议上调、配额与超配降级机制均是 kernel；配额比例 15%/35% 为内核默认值、profile 可覆写；P0/P1 授予定义与 L 档判定中 System Deep Dive、Interview Card 集条目是 profile
00 Standards Control/02 Task Routing and Pre-execution.md	Maintenance Run Envelope	kernel	【含裁决④】预算封套三选一、四源候选池、降级 log-only、改指折算、批次边界停点；3 轮降级与 ÷6 折算为内核默认值、profile 可覆写
00 Standards Control/02 Task Routing and Pre-execution.md	Pre-execution Gate	mixed	十条开工条件是 kernel；条 7 "不能把前置内容塞进 Agent/Harness 页面"主线措辞是 profile
00 Standards Control/02 Task Routing and Pre-execution.md	Default Constraints Snapshot	mixed	过程各条是 kernel；"Agent/Harness 主线+基础学科清单"与中文语言合同条是 profile；`Python Algorithm Agent Training` 排除条是 instance；施工中改判+理由：将渲染条中的 `Obsidian UI` 部署绑定抽入 agent-atlas `Role Registry`，kernel 改为引用所选 profile 绑定的 knowledge-host UI，避免具体宿主名进入 active kernel
00 Standards Control/02 Task Routing and Pre-execution.md	Batch Execution Checklist	kernel	批次循环 11 步（版本自检、增量对账、AuditPlan 一次、integrator 串行合并）
00 Standards Control/03 Standards Governance.md	Standards Control	mixed	生命周期与修订五步是 kernel；表中 2.3/2026-07-30 取值是 instance
00 Standards Control/03 Standards Governance.md	Revision Write-back Checklist	kernel	修订回写快照位置清单、no-op 轻量路径、Cards/vocab 重编译、自建工具登记
00 Standards Control/03 Standards Governance.md	Control Accretion Rule	kernel	新增控制义务三问
00 Standards Control/03 Standards Governance.md	Leaf Module Size Budget	mixed	尺寸预算机制是 kernel；已知例外登记清单是 instance，开源时清空
00 Standards Control/03 Standards Governance.md	Execution-Acceptance Ownership Convention	kernel	02 执行域与 12 验收域分权、引用不复制
00 Standards Control/03 Standards Governance.md	Change Summary	instance	1.0–2.3 全部版本事件史，开源时删除（归零重开）
00 Standards Control/04 Control State and Scope.md	Control State Separation	kernel	五状态轴分离表与 coverage_disposition
00 Standards Control/04 Control State and Scope.md	Scope	mixed	scope 声明+排除机制+控制面保护结构是 kernel；学科清单与主线分工是 profile；`Python Algorithm Agent Training` 是 instance
00 Standards Control/05 Core Principles and Standards Map.md	Core Principles	mixed	23 条原则绝大多数是 kernel；原则 8 Agent/Harness 措辞、原则 10 Interview separation、原则 23 Chinese-first 是 profile
00 Standards Control/05 Core Principles and Standards Map.md	Standards Map	mixed	13 域地图结构是 kernel；01 主线、10 中文合同、11 面试描述是 profile
00 Standards Control/05 Core Principles and Standards Map.md	Cross-domain Rule Registry	mixed	唯一 owner 注册表机制与过程行是 kernel；语言政策/Interview 双语政策/System Deep Dive 骨架三行随 profile 替换
00 Standards Control/05 Core Principles and Standards Map.md	Control Registry	mixed	一险一闸注册表机制与各过程行是 kernel；Interview 迁移扫描行是 profile
00 Standards Control/06 Completion Precedence and Task Contract.md	Definition Of Complete	mixed	完成条件框架是 kernel；Agent/Harness prerequisite chain、面试内容、Roadmap/Cheat Sheet 同步条是 profile
